goos: linux
goarch: amd64
pkg: github.com/yourusername/bolt/benchmarks
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkFull_Gin_QueryParams-8              	  407000	      3133 ns/op	    1529 B/op	      19 allocs/op
BenchmarkFull_Echo_QueryParams-8             	  313941	      3649 ns/op	    1417 B/op	      17 allocs/op
BenchmarkFull_Echo_QueryParams-8             	  324362	      3280 ns/op	    1417 B/op	      17 allocs/op
BenchmarkFull_Echo_QueryParams-8             	  407890	      3028 ns/op	    1417 B/op	      17 allocs/op
BenchmarkFull_Echo_QueryParams-8             	  392769	      3042 ns/op	    1417 B/op	      17 allocs/op
BenchmarkFull_Echo_QueryParams-8             	  445165	      3260 ns/op	    1417 B/op	      17 allocs/op
BenchmarkFull_Fiber_QueryParams-8            	   80457	     13458 ns/op	    6359 B/op	      26 allocs/op
BenchmarkFull_Fiber_QueryParams-8            	   92812	     13939 ns/op	    6362 B/op	      26 allocs/op
BenchmarkFull_Fiber_QueryParams-8            	   83431	     13623 ns/op	    6364 B/op	      26 allocs/op
BenchmarkFull_Fiber_QueryParams-8            	   87816	     13813 ns/op	    6362 B/op	      26 allocs/op
BenchmarkFull_Fiber_QueryParams-8            	   82744	     16021 ns/op	    6368 B/op	      26 allocs/op
BenchmarkFull_Bolt_Concurrent-8              	 4383742	       235.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_Concurrent-8              	 5066076	       229.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_Concurrent-8              	 5258828	       223.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_Concurrent-8              	 5779411	       224.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Bolt_Concurrent-8              	 5738380	       228.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkFull_Gin_Concurrent-8               	 7173776	       165.0 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_Concurrent-8               	 7523158	       165.4 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_Concurrent-8               	 7204486	       208.9 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_Concurrent-8               	 7013367	       172.3 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Gin_Concurrent-8               	 7064806	       161.1 ns/op	      40 B/op	       2 allocs/op
BenchmarkFull_Echo_Concurrent-8              	 6687702	       175.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_Concurrent-8              	 7198430	       169.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_Concurrent-8              	 6354757	       171.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_Concurrent-8              	 6257113	       168.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Echo_Concurrent-8              	 6836553	       172.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFull_Fiber_Concurrent-8             	  248384	      5359 ns/op	    5626 B/op	      23 allocs/op
BenchmarkFull_Fiber_Concurrent-8             	  223995	      5213 ns/op	    5619 B/op	      23 allocs/op
BenchmarkFull_Fiber_Concurrent-8             	  210175	      5015 ns/op	    5617 B/op	      23 allocs/op
BenchmarkFull_Fiber_Concurrent-8             	  241761	      5139 ns/op	    5618 B/op	      23 allocs/op
BenchmarkFull_Fiber_Concurrent-8             	  249910	      5252 ns/op	    5618 B/op	      23 allocs/op
BenchmarkRouter_StaticRoute-8                	 3789673	       280.5 ns/op	      32 B/op	       2 allocs/op
BenchmarkRouter_StaticRoute-8                	 4486370	       292.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkRouter_StaticRoute-8                	 4258396	       282.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkRouter_StaticRoute-8                	 4045516	       313.9 ns/op	      32 B/op	       2 allocs/op
BenchmarkRouter_StaticRoute-8                	 4201288	       286.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkRouter_DynamicRoute-8               	 1789522	       662.3 ns/op	     120 B/op	       7 allocs/op
BenchmarkRouter_DynamicRoute-8               	 1679066	       742.7 ns/op	     120 B/op	       7 allocs/op
BenchmarkRouter_DynamicRoute-8               	 1834834	       644.5 ns/op	     120 B/op	       7 allocs/op
BenchmarkRouter_DynamicRoute-8               	 2006092	       649.1 ns/op	     120 B/op	       7 allocs/op
BenchmarkRouter_DynamicRoute-8               	 1849562	       580.2 ns/op	     120 B/op	       7 allocs/op
BenchmarkRouter_MultipleParams-8             	  847417	      1240 ns/op	     499 B/op	       9 allocs/op
BenchmarkRouter_MultipleParams-8             	  931372	      1138 ns/op	     499 B/op	       9 allocs/op
BenchmarkRouter_MultipleParams-8             	 1000000	      1217 ns/op	     499 B/op	       9 allocs/op
BenchmarkRouter_MultipleParams-8             	  942841	      1360 ns/op	     499 B/op	       9 allocs/op
BenchmarkRouter_MultipleParams-8             	 1000000	      1159 ns/op	     499 B/op	       9 allocs/op
BenchmarkRouter_ManyRoutes_StaticLookup-8    	10900495	       125.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter_ManyRoutes_StaticLookup-8    	 9123424	       151.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter_ManyRoutes_StaticLookup-8    	 8124154	       151.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter_ManyRoutes_StaticLookup-8    	 8358489	       131.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter_ManyRoutes_StaticLookup-8    	 9973429	       140.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter_ManyRoutes_DynamicLookup-8   	 2414658	       527.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRouter_ManyRoutes_DynamicLookup-8   	 2342796	       529.6 ns/op	       0 B/op	       0 allocs/op
